epoch,accuracy,loss,val_accuracy,val_loss
0,0.8413793,0.4339602515615266,0.56725144,1.0134261765827735
1,0.9172414,0.26541350517293505,0.82163745,0.48507725323239964
2,0.95724136,0.14470691319137555,0.80701756,0.4683238531773289
3,0.97931033,0.08573331640680032,0.80409354,0.4569355856704836
4,0.9737931,0.07579122076517548,0.89181286,0.2973813247711708
5,0.99172413,0.035215798271659375,0.88304096,0.3145596853767832
6,0.99448276,0.027038852494723837,0.9005848,0.2555226442636922
7,0.9972414,0.02795873322797104,0.877193,0.27620706374485354
8,0.99448276,0.020441380032370317,0.9035088,0.25035068985501613
9,0.9986207,0.0089900389927889,0.9152047,0.21196329884211687
10,0.99448276,0.018804346103670783,0.9239766,0.20321403439205218
11,0.99172413,0.0254206219089924,0.83625734,0.36899055830872385
12,1.0,0.007185871800275295,0.7076023,0.8207166667774194
13,1.0,0.010007762454288555,0.84502923,0.35868526320397603
14,1.0,0.0025556225719026706,0.7865497,0.5475158882818505
15,0.9986207,0.00803075400321616,0.8479532,0.3390263016162862
16,0.9986207,0.007634182198571266,0.92105263,0.2415579765208046
17,0.99448276,0.02690044568112955,0.9356725,0.16288005232733363
18,0.99310344,0.01766954837521239,0.91812867,0.26307389316692326
19,1.0,0.0035532331826759436,0.92105263,0.2357007782168997
